app_id,title,release_date,genres,categories,developer,publisher,original_price,discount_percentage,discounted_price,dlc_available,age_rating,win_support,mac_support,linux_support,awards,overall_review_%,overall_review_count
1575690,Super Maze Labyrinth,"5 Apr, 2021","Casual, Indie","Single-player, Steam Achievements, Steam Cloud, Family Sharing, Profile Features Limited",Flat Cat Games,Flat Cat Games,₹105.00,-70%,₹31.00,0,0,TRUE,FALSE,FALSE,0,90,11
1576790,FPS Tactics,"5 Apr, 2021","Action, Adventure, Indie, Simulation, Strategy","Single-player, Steam Achievements, Family Sharing, Profile Features Limited",Hede,Hede,"₹15,800.00",-99%,₹158.00,0,0,TRUE,TRUE,TRUE,0,,
813630,Supraland,"5 Apr, 2019","Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",Supra Games,Supra Games,₹529.00,-76%,₹126.00,1,0,TRUE,FALSE,FALSE,3,96,9194
816720,Bugs Must Die / 异星特勤队,"5 Apr, 2019","Action, Adventure, Indie, Racing, RPG","Single-player, Family Sharing",DG Games Workshop,DG Games Workshop,₹451.00,-20%,₹361.00,1,0,TRUE,FALSE,FALSE,1,86,74
1053660,Chaos Starter,"5 Apr, 2019","Action, Adventure, Casual, Indie, Simulation","Single-player, Family Sharing, Profile Features Limited",Kiddy,Kiddy,₹52.00,-50%,₹26.00,0,0,TRUE,FALSE,FALSE,0,57,47
829300,bomber-un,"5 Apr, 2018","Casual, Indie","Single-player, Steam Achievements, Family Sharing",Hardcore Studio,Hardcore Studio,₹207.00,-30%,₹144.00,1,0,TRUE,FALSE,FALSE,0,68,19
457480,Domino Sky,"5 Apr, 2016","Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",Russpuppy,Russpuppy,₹255.00,-47%,₹134.00,0,0,TRUE,TRUE,FALSE,0,81,331
449220,A grande bagunça espacial - The big space mess,"5 Apr, 2016","Action, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",RMAL,RMAL,₹52.00,-50%,₹26.00,0,0,TRUE,FALSE,FALSE,0,87,149
433700,Carpe Lucem - Seize The Light VR,"5 Apr, 2016","Casual, Indie, Strategy","Single-player, Tracked Controller Support, VR Only, Steam Workshop, Includes level editor, Family Sharing",Hammer Labs,Application Systems Heidelberg,₹690.00,-80%,₹138.00,0,0,TRUE,FALSE,FALSE,3,84,33
1918540,The Ramen Sensei,"4 Sep, 2022","Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",₹329.00,-50%,₹164.00,0,0,TRUE,FALSE,FALSE,0,79,86
1693040,Synthwave Burnout,"4 Sep, 2021","Action, Indie, Racing, Sports, Early Access","Single-player, Steam Achievements, Steam Cloud, Family Sharing, Profile Features Limited",Whale Rock Games,Whale Rock Games,₹349.00,-91%,₹31.00,0,0,TRUE,FALSE,FALSE,0,82,175
1731040,Shawarma or Shaverma,"4 Sep, 2021","Casual, Indie, RPG, Simulation, Strategy","Single-player, Family Sharing, Profile Features Limited",Stas Paty9mkin,Piece Of Voxel,₹349.00,-90%,₹34.00,0,0,TRUE,FALSE,FALSE,0,91,12
1383170,100 RUB: Operation Global Denomination,"4 Sep, 2020","Adventure, Indie","Single-player, Steam Achievements, Family Sharing, Profile Features Limited",KuKo,KuKo,₹52.00,-50%,₹26.00,0,0,TRUE,FALSE,FALSE,0,85,41
1341720,Alt254,"4 Sep, 2020","Adventure, Indie","Single-player, Steam Achievements, Steam Cloud, Family Sharing, Profile Features Limited",Rename Studio,Rename Studio,₹259.00,-50%,₹129.00,0,0,TRUE,TRUE,TRUE,0,94,19
859370,in My MIND.,"4 Sep, 2018","Action, Casual, Indie","Single-player, Steam Achievements, Family Sharing, Profile Features Limited",P.S.B (iNsOoL),PsychoFlux Entertainment,₹52.00,-50%,₹26.00,0,0,TRUE,FALSE,FALSE,0,91,34
656490,Automobile Tycoon,"4 Sep, 2018","Indie, Simulation, Strategy","Single-player, Steam Cloud, Family Sharing",Silver Lemur Games,Silver Lemur Games,₹690.00,-50%,₹345.00,0,0,TRUE,FALSE,FALSE,0,57,49
610960,红石遗迹 - Red Obsidian Remnant,"4 Sep, 2017","Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",Red Obsidian Studio,"Beijing New Era Network Technology Co., Ltd.",₹528.00,-60%,₹212.00,1,0,TRUE,FALSE,FALSE,0,84,671
699760,Triple Otakus Puzzle,"4 Sep, 2017","Casual, Indie","Single-player, Family Sharing",Tero Lunkka,Tero Lunkka,₹52.00,-50%,₹26.00,0,0,TRUE,FALSE,FALSE,0,31,29
